2024-08-05 08:20:24,581; INFO; a0; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S1_S0_S0_S0_S0 -> S0_S0_S1_S0_S0]
2024-08-05 08:20:27,857; INFO; b0; [supEsteiraMesa_GiratoriaR1: S0_S1_S1 -> S0_S0_S0]
2024-08-05 08:20:27,858; INFO; b0; [supR2Mesa_GiratoriaFuradeira: S1_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:27,858; INFO; b0; [supR3Mesa_GiratoriaTeste: S1_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:27,858; INFO; b0; [supR4Mesa_GiratoriaRobo: S4_S1_S0 -> S5_S0_S0]
2024-08-05 08:20:27,859; INFO; b0; [supR5EsteiraMesa_GiratoriaFuradeira: S2_S0_S1_S0 -> S2_S0_S0_S0]
2024-08-05 08:20:27,859; INFO; b0; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S1_S0_S0 -> S4_S0_S0_S0]
2024-08-05 08:20:27,859; INFO; b0; [supR7Mesa_GiratoriaTesteRobo: S1_S1_S0_S0 -> S1_S0_S0_S0]
2024-08-05 08:20:27,860; INFO; b0; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S1_S0_S0 -> S0_S0_S0_S0_S0]
2024-08-05 08:20:27,860; INFO; a2; [supR2Mesa_GiratoriaFuradeira: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:27,860; INFO; a2; [supR5EsteiraMesa_GiratoriaFuradeira: S2_S0_S0_S0 -> S4_S0_S0_S1]
2024-08-05 08:20:27,861; INFO; a2; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S0_S0_S0 -> S4_S0_S1_S0]
2024-08-05 08:20:27,861; INFO; a2; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S0_S0_S0 -> S0_S0_S0_S1_S0]
2024-08-05 08:20:27,871; INFO; a4; [supR4Mesa_GiratoriaRobo: S5_S0_S0 -> S4_S0_S1]
2024-08-05 08:20:27,871; INFO; a4; [supR7Mesa_GiratoriaTesteRobo: S1_S0_S0_S0 -> S6_S0_S0_S1]
2024-08-05 08:20:28,463; INFO; se; [supR0EsteiraSensor: S0_S0_S0 -> S1_S0_S0]
2024-08-05 08:20:28,463; INFO; a1; [supR0EsteiraSensor: S1_S0_S0 -> S0_S1_S0]
2024-08-05 08:20:28,464; INFO; a1; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:28,464; INFO; a1; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S0_S0_S1 -> S4_S1_S0_S1]
2024-08-05 08:20:28,465; INFO; a1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S0_S1_S0 -> S0_S1_S0_S1_S0]
2024-08-05 08:20:28,494; INFO; b2; [supR2Mesa_GiratoriaFuradeira: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:28,494; INFO; b2; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S1_S0_S1 -> S4_S1_S0_S0]
2024-08-05 08:20:28,494; INFO; b2; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S0_S1_S0 -> S5_S0_S0_S0]
2024-08-05 08:20:28,496; INFO; b2; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S1_S0 -> S1_S1_S0_S0_S0]
2024-08-05 08:20:29,976; INFO; b1; [supR0EsteiraSensor: S0_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:29,976; INFO; b1; [supEsteiraMesa_GiratoriaR1: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:29,977; INFO; b1; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S1_S0_S0 -> S5_S0_S0_S0]
2024-08-05 08:20:29,977; INFO; b1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S1_S1_S0_S0_S0 -> S1_S0_S0_S0_S0]
